event_id,event_date,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
4436,06/25/2012 12:00:00 AM,"Khonsa, Arunachal Pradesh","Khonsa, Arunachal Pradesh",50km,landslide,downpour,medium,unknown,,,,,glc,4436,India,IN,Arunāchal Pradesh,10187,Khonsa,6.97928,95.4993,26.9986
1324,11/22/2009 12:00:00 AM,"Cilacap, Cimanggu-Majenang area","Cilacap, Cimanggu-Majenang area",5km,landslide,downpour,medium,unknown,0,,,,glc,1324,Indonesia,ID,Central Java,0,Karangbadar Kidul,4.58086,109,-7.7333
9428,04/22/2016 09:30:00 PM,"Thongleng village, Lumla, Tawang, Arunachal Pradesh, India","Thongleng village, Lumla, Tawang, Arunachal Pradesh, India",10km,landslide,continuous_rain,medium,unknown,2,4,,,,,,,,,,,91.752,27.5523
3916,08/13/2011 08:00:00 AM,"Chumukedima, Dimapur","Chumukedima, Dimapur",10km,mudslide,downpour,medium,unknown,0,,,,glc,3916,India,IN,Assam,135860,Dimāpur,17.73969,93.8067,25.7713
9132,12/29/2015 12:00:00 AM,Crosses,Crosses,5km,mudslide,rain,small,other,0,0,,,glc,9132,United States,US,Arkansas,2648,Elkins,16.58078,-93.9131,35.8736
1437,01/21/2010 03:00:00 PM,"Rock Castle Drive, La Cañada Flintridge, CA","Rock Castle Drive, La Cañada Flintridge, CA",1km,mudslide,downpour,small,unknown,0,,,,glc,1437,United States,US,California,19653,La Crescenta-Montrose,1.01062,-118.2246,34.2342
7034,06/30/2015 12:00:00 AM,"Lava, Kalimpong","Lava, Kalimpong",1km,landslide,downpour,medium,unknown,1,0,,,glc,7034,India,IN,West Bengal,4026,Rangpo,15.66973,88.6556,27.0875
2619,10/18/2010 11:00:00 PM,Kennon Road,Kennon Road,25km,rock_fall,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),,glc,2619,Philippines,PH,Cordillera Administrative Region,272714,Baguio,5.23652,120.6076,16.3712
2733,11/17/2010 04:00:00 AM,"tracks near Luxulyan between Newquay and Par, Cornwall","tracks near Luxulyan between Newquay and Par, Cornwall",5km,landslide,downpour,medium,unknown,0,,,,glc,2733,United Kingdom,GB,England,2293,Bugle,3.29182,-4.7497,50.3859
946,12/22/2008 12:00:00 AM,"12-hundred block of Mountain View Road in Harbison Canyon, San Diego","12-hundred block of Mountain View Road in Harbison Canyon, San Diego",1km,complex,downpour,small,unknown,,,,,glc,946,United States,US,California,3841,Harbison Canyon,1.91206,-116.8487,32.8273
6749,02/07/2015 06:00:00 PM,Burlington Northern Santa Fe railroad tracks south of Everett,Burlington Northern Santa Fe railroad tracks south of Everett,25km,mudslide,rain,medium,above_road,0,0,,,glc,6749,United States,US,Washington,20254,Mukilteo,2.88292,-122.315,47.9196
4308,04/05/2012 02:00:00 PM,"Gembor sub-village hamlet 03/01, Sukamulya village, Kutawaringin sub-district, Bandung district, West Java province","Gembor sub-village hamlet 03/01, Sukamulya village, Kutawaringin sub-district, Bandung district, West Java province",5km,landslide,rain,medium,unknown,0,,,,glc,4308,Indonesia,ID,West Java,150932,Soreang,4.388,107.5044,-6.9959
150,07/30/2007 12:00:00 AM,Chamoli,Chamoli,50km,landslide,downpour,medium,unknown,,,,,glc,150,India,IN,Uttarakhand,2000,Pīpalkoti,8.34102,79.349,30.4
929,12/14/2008 12:00:00 AM,"Palma and Calvia, as well as areas around the Serra de Tramuntana, Andratx, Sant Elm, Puigpunyent, Estellencs, Esporles, Escora, Bunyola, Alaró and St","Palma and Calvia, as well as areas around the Serra de Tramuntana, Andratx, Sant Elm, Puigpunyent, Estellencs, Esporles, Escora, Bunyola, Alaró and Stanwell",50km,complex,downpour,medium,unknown,,,,,glc,929,Spain,ES,Balearic Islands,401270,Palma,0.29944,2.65,39.5667
